id,area,feature,user_story,expected_behavior,source_of_truth,current_automated_coverage,manual_status,observed_errors,fix_status,last_verified,evidence
YS-001,CLI,No-argument skill document,"As an AI agent, I want running yunomi with no file to print the agent skill document so I can learn the workflow before serving work.","When invoked without file arguments in an interactive TTY, yunomi prints the skill document, includes installation guidance, and does not start a review server.","v2/src/server/main.mbt:240; v2/src/server/main.mbt:350; README.md:46","v2/e2e/instant_skill.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-002,CLI,--skill output,"As an AI agent, I want --skill to print only the skill document so output can be copied into skill files safely.","yunomi --skill exits 0, starts with the yunomi skill title, includes required workflow sections, and contains no live-log noise.","v2/src/server/main.mbt:210; v2/src/server/main.mbt:350","v2/e2e/instant_skill.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-003,CLI,Empty piped stdin,"As a user, I want empty stdin to fail loudly so broken pipelines are not silently reviewed as empty diffs.","Empty piped stdin exits 1 and prints usage instead of starting a server.","v2/src/server/main.mbt:261; v2/src/server/main.mbt:325","v2/e2e/instant_skill.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-004,CLI,--version,"As a user, I want --version to report the installed yunomi version so I can verify local/runtime versions.","yunomi --version exits 0 and prints package version with MoonBit marker.","v2/src/server/main.mbt:213; package.json","not-yet-covered","verified-pass","","none","2026-06-22","yunomi --version => yunomi 2.1.0 (moonbit)"
YS-005,CLI,Help and usage,"As a user, I want --help to explain supported formats and options so I can launch the right review mode.","yunomi --help exits 0 and lists --port, --host, --no-open, --encoding, --skill, --help, --version, supported formats, stdin diff usage.","v2/src/server/main.mbt:207; v2/src/server/main.mbt:325","v2/e2e/smoke.ts partially; manual command output","verified-pass","","none","2026-06-22","yunomi --help output inspected after 2.1.0 install"
YS-006,CLI,Multiple input files,"As a reviewer, I want multiple files to open on consecutive ports so I can review a batch in one command.","Each input file starts a server, using the base port plus index while skipping locked or occupied ports.","v2/src/server/main.mbt:278; v2/src/server/main.mbt:179; README.md:141","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed"
YS-007,CLI,Port locking and cleanup,"As a user, I want stale or active port locks handled safely so repeated reviews do not collide.","Server writes a lock for its port, skips active locked ports, removes lock on exit, and does not leave stale lock files after normal exit.","v2/src/server/main.mbt:108; v2/src/server/main.mbt:162; v2/src/server/main.mbt:170","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-008,CLI,Host binding,"As a user, I want --host to choose the bind address so local or remote review contexts can be supported.","--host changes server listen host; 0.0.0.0 is displayed as 127.0.0.1 for local opening while binding all interfaces.","v2/src/server/main.mbt:224; v2/src/server/main.mbt:870","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed for --host 127.0.0.1"
YS-009,CLI,Encoding override and detection,"As a reviewer of Japanese or legacy files, I want encoding detection and --encoding override so source text renders correctly.","Files decode as UTF-8 when valid, otherwise heuristic Shift-JIS/EUC-JP is used; --encoding/-e overrides detection.","v2/src/server/main.mbt:229; v2/src/server/main.mbt:477; v2/src/server/main.mbt:574","v2/e2e/feature_matrix_regression.ts","verified-pass","","none","2026-06-22","feature_matrix_regression.ts passed for --encoding shift_jis"
YS-010,Server,Health endpoint,"As an integration test, I want /healthz to report ok so readiness can be verified.","GET /healthz returns 200 JSON with ok true; HEAD /healthz returns 200 with empty body.","v2/src/server/main.mbt:905; v2/src/server/main.mbt:950","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-011,Server,Static file serving,"As a Markdown reviewer, I want relative image/video assets to load while path traversal is blocked.","Static assets under the reviewed file directory are served with correct MIME types; missing files return 404; traversal outside base returns 403.","v2/src/server/main.mbt:1000; v2/src/server/main.mbt:1031","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-012,Server,Video range requests,"As a browser video player, I want range requests so videos scrub and stream correctly.","Video range requests return 206 with correct Content-Range and byte length; full video GET returns 200.","v2/src/server/main.mbt:1042; v2/src/server/main.mbt:1000","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-013,Server,Video timeline endpoint security,"As a reviewer, I want video timeline extraction to reject unsafe paths so arbitrary local files cannot be read.","/video-timeline rejects path traversal and absolute paths outside the reviewed file base directory.","v2/src/server/main.mbt:919; v2/src/ui/video_timeline.mbt:118","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-014,Server,Live comment IPC,"As an orchestrating agent, I want comment edits written to a live JSONL log so I can observe review progress in real time.","POST /comment appends a JSONL event with timestamp/file/type/key/row/col/text/image state, notifies SSE clients, and delete events are accepted.","v2/src/server/main.mbt:42; v2/src/server/main.mbt:1166","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-015,Markdown,Markdown parsing basics,"As a reviewer, I want common Markdown syntax rendered so reports are readable.","Headings, paragraphs, bold, italic, code blocks, inline code, ordered/unordered lists, links, images, blockquotes, horizontal rules, tables, and frontmatter parse into expected HTML structures.","v2/src/core/markdown.mbt; v2/src/core/markdown_test.mbt","v2/src/core/markdown_test.mbt; v2/src/core/markdown_html_v2_test.mbt","verified-pass","","none","2026-06-22","moon test via npm test passed"
YS-016,Markdown,Markdown XSS safety,"As a reviewer, I want unsafe links and scripts escaped or blocked so reports cannot execute arbitrary script.","javascript: links and unsafe URL/text content do not create executable script tags in the preview.","v2/src/core/markdown.mbt; v2/src/core/html.mbt","v2/src/core/markdown_test.mbt; v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-017,Markdown,Side-by-side preview and source,"As a reviewer, I want Markdown preview beside source lines so I can read rendered content and anchor comments to source lines.","Markdown mode renders preview pane, source table pane, source rows with data-row attributes, and a recovery modal.","v2/src/server/main.mbt:655; v2/src/core/html.mbt; README.md:64","v2/e2e/smoke.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-018,Markdown,Synchronized scrolling,"As a reviewer, I want preview/source scroll positions to stay aligned so I can move between rendered and source context without losing place.","Preview scrolling syncs the source pane with bounded deltas; selection and card positioning temporarily disable sync to avoid fighting user interactions.","v2/src/ui/app.mbt; README.md:64","v2/e2e/preview_interaction_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
YS-019,Markdown,Preview target source mapping,"As a reviewer, I want clicking rendered Markdown elements to select the correct source rows so comments attach to the right text.","Paragraphs, images, videos, mermaid diagrams, tables, code blocks, list items, blockquotes, headings, and horizontal rules map to source selections or source ranges.","v2/src/ui/app.mbt; v2/src/ui/dom.mbt","v2/e2e/preview_interaction_regression.ts; v2/e2e/comment_shortcuts_regression.ts","verified-pass","","none","2026-06-22","npm test on 2.1.0 passed"
